"GEO_ID","NAME","P004001","P004002","P004003","P004004","P004005","P004006","P004007","P004008","P004009","P004010","P004011","P004012","P004013","P004014","P004015","P004016","P004017","P004018","P004019","P004020","P004021","P004022","P004023","P004024","P004025","P004026","P004027","P004028","P004029","P004030","P004031","P004032","P004033","P004034","P004035","P004036","P004037","P004038","P004039","P004040","P004041","P004042","P004043","P004044","P004045","P004046","P004047","P004048","P004049","P004050","P004051","P004052","P004053","P004054","P004055","P004056","P004057","P004058","P004059","P004060","P004061","P004062","P004063","P004064","P004065","P004066","P004067","P004068","P004069","P004070","P004071","P004072","P004073",
"1400000US06037480002","Census Tract 4800.02, Los Angeles County, California","3246","540","2706","2639","1236","21","3","1370","2","7","67","58","3","4","29","0","9","0","2","0","0","0","0","1","4","6","0","8","0","0","0","1","2","0","0","4","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US06037480011","Census Tract 4800.11, Los Angeles County, California","5077","1531","3546","3398","1342","107","22","1913","7","7","148","135","6","10","48","2","33","1","1","0","0","6","0","0","9","19","0","12","2","5","0","0","2","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US06037480012","Census Tract 4800.12, Los Angeles County, California","4813","908","3905","3753","1683","108","5","1945","5","7","152","139","12","3","44","1","26","2","1","0","3","0","0","0","8","37","2","10","0","0","0","0","1","0","0","3","4","0","0","0","1","0","0","0","0","0","0","1","3","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US06037480101","Census Tract 4801.01, Los Angeles County, California","3784","681","3103","3032","1258","27","6","1737","0","4","71","69","2","7","32","1","11","0","1","0","0","2","0","0","3","10","0","2","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US06037480102","Census Tract 4801.02, Los Angeles County, California","4187","1012","3175","3085","1104","53","7","1897","5","19","90","83","2","3","40","1","10","0","0","0","2","2","0","0","11","12","0","3","1","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","4","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US06037480201","Census Tract 4802.01, Los Angeles County, California","3744","750","2994","2927","1825","17","5","1075","4","1","67","67","3","4","35","1","8","0","1","0","0","0","0","0","11","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US06037480202","Census Tract 4802.02, Los Angeles County, California","2403","435","1968","1932","1118","7","1","798","0","8","36","34","0","8","17","0","4","0","1","0","0","0","0","0","1","3","0","2","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US06037480301","Census Tract 4803.01, Los Angeles County, California","8175","2685","5490","5313","812","207","14","4260","7","13","177","164","9","4","40","2","36","1","8","1","3","9","0","2","12","37","0","11","1","0","0","0","2","0","0","6","1","0","0","0","0","0","1","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0",
"1400000US06037480302","Census Tract 4803.02, Los Angeles County, California","4303","1409","2894","2769","1046","91","6","1606","2","18","125","119","6","5","28","0","37","5","4","0","2","2","0","1","3","26","0","6","0","0","0","0","4","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US06037480400","Census Tract 4804, Los Angeles County, California","5661","1605","4056","3919","1771","108","18","2011","0","11","137","130","7","9","46","1","23","1","5","1","3","4","0","0","22","8","0","5","1","0","0","0","0","0","3","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0",
