bgp2000gj,bg2010gj,bg2010ge,wt_pop,wt_fam,wt_hh,wt_hu
G06000109107026000441800U1,G06000104418003,060014418003,0.7092779441,0.6845103295,0.7278140562,0.727722383
G06000109107026000441800U1,G06000104418004,060014418004,0.290654142,0.3154263582,0.2721084286,0.272200627
G06000109107026000441800U1,G06000104419244,060014419244,6.79139e-05,6.33123e-05,7.75153e-05,7.699e-05
G06000109107026000441800U2,G06000104418001,060014418001,0.7055231751,0.6976016684,0.6881303336,0.6903127384
G06000109107026000441800U2,G06000104418002,060014418002,0.2944768249,0.3023983316,0.3118696664,0.3096872616
G06000109107026000441901U1,G06000104419241,060014419241,0.3151560178,0.3160886868,0.3092865684,0.3104664837
G06000109107026000441901U1,G06000104419242,060014419242,0.2540955977,0.2506582387,0.263000807,0.2621987553
G06000109107026000441901U1,G06000104419243,060014419243,0.2797825598,0.2797567698,0.2535396474,0.2528933654
G06000109107026000441901U1,G06000104419244,060014419244,0.1509658247,0.1534963047,0.1741729773,0.1744413955
G06000109107026000441901U2,G06000104419251,060014419251,0.5106368555,0.5278934221,0.5199115044,0.5157154673
G06000109107026000441901U2,G06000104419252,060014419252,0.4893631445,0.4721065779,0.4800884956,0.4842845327
G06000109107026000441921U1,G06000104419211,060014419211,1.0,1.0,1.0,1.0
G06000109107026000441921U2,G06000104419212,060014419212,1.0,1.0,1.0,1.0
G06000109107026000441922U1,G06000104419271,060014419271,0.6144688286,0.5930218659,0.5611021974,0.5534839436
G06000109107026000441922U1,G06000104419272,060014419272,0.3855311714,0.4069781341,0.4388978026,0.4465160564
G06000109107026000441922U2,G06000104419262,060014419262,1.0,1.0,1.0,1.0
G06000109107026000441922U3,G06000104419261,060014419261,1.0,1.0,1.0,1.0
G06000109107026000441923U1,G06000104419232,060014419232,1.0,1.0,1.0,1.0
G06000109107026000441923U2,G06000104419231,060014419231,1.0,1.0,1.0,1.0
G06000109107026000441923U3,G06000104419233,060014419233,1.0,1.0,1.0,1.0
G06000109107026000441923U4,G06000104419232,060014419232,0.5857894737,0.5708245243,0.6061827957,0.6121919585
G06000109107026000441923U4,G06000104419233,060014419233,0.4142105263,0.4291754757,0.3938172043,0.3878080415
G06000109107026000442000R1,G06000104420001,060014420001,1.0,1.0,1.0,1.0
G06000109107026000442000R1,G06000104420002,060014420002,0.0,0.0,0.0,0.0
G06000109107026000442000U1,G06000104420001,060014420001,0.6296748171,0.6433037872,0.6547440971,0.6538402154
