"GEO_ID","NAME","B19013_001E","B19013_001M","B19013_001MA","B19013_001EA",
"1400000US06001441522","Census Tract 4415.22, Alameda County, California","89036","12813","null","null",
"1400000US06001441523","Census Tract 4415.23, Alameda County, California","115246","10496","null","null",
"1400000US06001441524","Census Tract 4415.24, Alameda County, California","135600","37344","null","null",
"1400000US06001441601","Census Tract 4416.01, Alameda County, California","85243","12154","null","null",
"1400000US06001441602","Census Tract 4416.02, Alameda County, California","81538","14599","null","null",
"1400000US06001441700","Census Tract 4417, Alameda County, California","72909","11996","null","null",
"1400000US06001441800","Census Tract 4418, Alameda County, California","77875","10425","null","null",
"1400000US06001441921","Census Tract 4419.21, Alameda County, California","95775","8355","null","null",
"1400000US06001441923","Census Tract 4419.23, Alameda County, California","64583","13137","null","null",
"1400000US06001441924","Census Tract 4419.24, Alameda County, California","102708","11845","null","null",
"1400000US06001441925","Census Tract 4419.25, Alameda County, California","104634","12738","null","null",
"1400000US06001441926","Census Tract 4419.26, Alameda County, California","65341","15914","null","null",
"1400000US06001441927","Census Tract 4419.27, Alameda County, California","71273","6991","null","null",
"1400000US06001442000","Census Tract 4420, Alameda County, California","154167","17192","null","null",
"1400000US06001442100","Census Tract 4421, Alameda County, California","155500","15349","null","null",
"1400000US06001442200","Census Tract 4422, Alameda County, California","124320","13606","null","null",
"1400000US06001442301","Census Tract 4423.01, Alameda County, California","75495","9190","null","null",
"1400000US06001442302","Census Tract 4423.02, Alameda County, California","55116","7122","null","null",
"1400000US06001442400","Census Tract 4424, Alameda County, California","87813","14005","null","null",
"1400000US06001442500","Census Tract 4425, Alameda County, California","79526","12893","null","null",
"1400000US06001442601","Census Tract 4426.01, Alameda County, California","80521","23565","null","null",
"1400000US06001442602","Census Tract 4426.02, Alameda County, California","66062","16912","null","null",
"1400000US06001442700","Census Tract 4427, Alameda County, California","103558","21312","null","null",
"1400000US06001442800","Census Tract 4428, Alameda County, California","69375","16788","null","null",
"1400000US06001442900","Census Tract 4429, Alameda County, California","80926","19985","null","null",
"1400000US06001443001","Census Tract 4430.01, Alameda County, California","91932","21972","null","null",
"1400000US06001443002","Census Tract 4430.02, Alameda County, California","91250","23935","null","null",
"1400000US06001443102","Census Tract 4431.02, Alameda County, California","138239","15338","null","null",
"1400000US06001443103","Census Tract 4431.03, Alameda County, California","206232","15495","null","null",
"1400000US06001443104","Census Tract 4431.04, Alameda County, California","127869","15598","null","null",
"1400000US06001443105","Census Tract 4431.05, Alameda County, California","173422","24232","null","null",
"1400000US06001443200","Census Tract 4432, Alameda County, California","206786","37422","null","null",
"1400000US06001443301","Census Tract 4433.01, Alameda County, California","131875","32747","null","null",
"1400000US06001443321","Census Tract 4433.21, Alameda County, California","83143","22701","null","null",
"1400000US06001443322","Census Tract 4433.22, Alameda County, California","126116","10272","null","null",
"1400000US06001444100","Census Tract 4441, Alameda County, California","82500","16630","null","null",
"1400000US06001444200","Census Tract 4442, Alameda County, California","81047","11849","null","null",
"1400000US06001444301","Census Tract 4443.01, Alameda County, California","92563","20611","null","null",
"1400000US06001444302","Census Tract 4443.02, Alameda County, California","69875","14240","null","null",
"1400000US06001444400","Census Tract 4444, Alameda County, California","73423","7927","null","null",
"1400000US06001444500","Census Tract 4445, Alameda County, California","74141","7821","null","null",
"1400000US06001444601","Census Tract 4446.01, Alameda County, California","84773","20610","null","null",
"1400000US06001444602","Census Tract 4446.02, Alameda County, California","106604","9297","null","null",
"1400000US06001450101","Census Tract 4501.01, Alameda County, California","108125","10361","null","null",
"1400000US06001450102","Census Tract 4501.02, Alameda County, California","131795","12036","null","null",
"1400000US06001450200","Census Tract 4502, Alameda County, California","85592","6739","null","null",
"1400000US06001450300","Census Tract 4503, Alameda County, California","104063","13148","null","null",
"1400000US06001450400","Census Tract 4504, Alameda County, California","100446","9628","null","null",
"1400000US06001450501","Census Tract 4505.01, Alameda County, California","112614","11108","null","null",
"1400000US06001450502","Census Tract 4505.02, Alameda County, California","149180","13927","null","null",
"1400000US06001450601","Census Tract 4506.01, Alameda County, California","137679","42695","null","null",
"1400000US06001450602","Census Tract 4506.02, Alameda County, California","131282","10639","null","null",
"1400000US06001450603","Census Tract 4506.03, Alameda County, California","127270","11855","null","null",
"1400000US06001450604","Census Tract 4506.04, Alameda County, California","130938","16542","null","null",
"1400000US06001450605","Census Tract 4506.05, Alameda County, California","109960","7431","null","null",
"1400000US06001450606","Census Tract 4506.06, Alameda County, California","141797","10490","null","null",
"1400000US06001450607","Census Tract 4506.07, Alameda County, California","77038","13607","null","null",
"1400000US06001450701","Census Tract 4507.01, Alameda County, California","168641","28883","null","null",
"1400000US06001450741","Census Tract 4507.41, Alameda County, California","98304","31756","null","null",
"1400000US06001450742","Census Tract 4507.42, Alameda County, California","101500","9630","null","null",
"1400000US06001450743","Census Tract 4507.43, Alameda County, California","93347","20619","null","null",
"1400000US06001450744","Census Tract 4507.44, Alameda County, California","117821","10187","null","null",
"1400000US06001450745","Census Tract 4507.45, Alameda County, California","125000","16730","null","null",
"1400000US06001450746","Census Tract 4507.46, Alameda County, California","121406","13866","null","null",
"1400000US06001450750","Census Tract 4507.50, Alameda County, California","89875","14437","null","null",
