"GEO_ID","NAME","B19013_001E","B19013_001EA","B19013_001M","B19013_001MA",
"1400000US06001440334","Census Tract 4403.34, Alameda County, California","112292","null","8839","null",
"1400000US06001440335","Census Tract 4403.35, Alameda County, California","115962","null","21283","null",
"1400000US06001440336","Census Tract 4403.36, Alameda County, California","77054","null","13656","null",
"1400000US06001441100","Census Tract 4411, Alameda County, California","85316","null","4384","null",
"1400000US06001441200","Census Tract 4412, Alameda County, California","112458","null","15943","null",
"1400000US06001441301","Census Tract 4413.01, Alameda County, California","114620","null","22064","null",
"1400000US06001441302","Census Tract 4413.02, Alameda County, California","101096","null","13549","null",
"1400000US06001441401","Census Tract 4414.01, Alameda County, California","105345","null","5889","null",
"1400000US06001441402","Census Tract 4414.02, Alameda County, California","118871","null","15168","null",
"1400000US06001441501","Census Tract 4415.01, Alameda County, California","130648","null","23546","null",
"1400000US06001441503","Census Tract 4415.03, Alameda County, California","148438","null","15539","null",
"1400000US06001441521","Census Tract 4415.21, Alameda County, California","120688","null","8566","null",
"1400000US06001441522","Census Tract 4415.22, Alameda County, California","94861","null","23793","null",
"1400000US06001441523","Census Tract 4415.23, Alameda County, California","115110","null","7304","null",
"1400000US06001441524","Census Tract 4415.24, Alameda County, California","150719","null","18497","null",
"1400000US06001441601","Census Tract 4416.01, Alameda County, California","99708","null","17522","null",
"1400000US06001441602","Census Tract 4416.02, Alameda County, California","90595","null","12504","null",
"1400000US06001441700","Census Tract 4417, Alameda County, California","91827","null","6551","null",
"1400000US06001441800","Census Tract 4418, Alameda County, California","99391","null","10202","null",
"1400000US06001441921","Census Tract 4419.21, Alameda County, California","106821","null","5265","null",
"1400000US06001441923","Census Tract 4419.23, Alameda County, California","66103","null","21921","null",
"1400000US06001441924","Census Tract 4419.24, Alameda County, California","111442","null","16702","null",
"1400000US06001441925","Census Tract 4419.25, Alameda County, California","102161","null","13070","null",
"1400000US06001441926","Census Tract 4419.26, Alameda County, California","76011","null","7503","null",
"1400000US06001441927","Census Tract 4419.27, Alameda County, California","92532","null","10733","null",
"1400000US06001442000","Census Tract 4420, Alameda County, California","158000","null","21781","null",
"1400000US06001442100","Census Tract 4421, Alameda County, California","151250","null","18515","null",
"1400000US06001442200","Census Tract 4422, Alameda County, California","147375","null","25461","null",
"1400000US06001442301","Census Tract 4423.01, Alameda County, California","82256","null","5039","null",
